owner_key,legacy_uuid,title,topic,url,downloadable,expected_bytes,reference_status
r_piemon,r_piemon:9c6b3d56-945b-4abf-9031-73ef2a62a51f,Ppr - Aree ed elementi di specifico interesse geomorfologico e naturalistico con rilevanza visiva (tav. P4),biota,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/elem_interesse_natur_con_rilev_visiva_upp.zip,true,11512,ok
r_piemon,r_piemon:b2a2b447-9769-49fa-b0a0-1ff8c882ee2f,Ripresa aerea 1995 CORIO CANAVESE ALIFOTO Piano di volo,imageryBaseMapsEarthCover,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Voli/Ripresa_aerea_1995_CORIO_CANAVESE_ALIFOTO_ABBRACCIAMENTO.zip,true,6498,ok
r_piemon,r_piemon:b23afede-61bd-480c-b59f-1cddba009c66,Ppr - Vette (tav. P4),elevation,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/vette.zip,true,16308,ok
r_piemon,r_piemon:1322be6b-b10a-4327-a0f9-b7f66fdeccb4,Ppr - Aree di montagna (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/montagna_upp.zip,true,199123,ok
c_001272,c_l219:7a12f3f9-cb05-4778-9182-2703839c7a92,Urbanistica - PRG Var. Geologica - Corsi d'acqua,inlandWaters,http://geoportale.comune.torino.it/sec/zip/corsi_d_acqua.zip,true,54900,ok
r_piemon,r_piemon:33a26aba-b01e-4822-a4eb-4ddf8a576413,Ppr - Elementi strutturanti i bordi urbani (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/elementi_strutturanti_insediamento_upp.zip,true,92368,ok
p_to,cmto:23192f3c-81b2-4130-a08f-8fceef5a80f9,CERONDA e CASTERNONE - Studio Idrogeologico,geoscientificInformation,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/sit-cartografico/dwd/geoportale/dati_scaricabili/difesa_del_suolo/studi_idrogeologici/cerondacasternone/Stralcio_Relazione_studio_110.pdf,true,1630911,ok
r_piemon,r_piemon:7f8e1295-9673-4eed-aee8-074ea1b8a644,Ppr - Aree rurali di specifico interesse paesaggistico SV1 (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/specificita_paes_sv1_upp.zip,true,691626,ok
c_001272,c_l219:38d0528b-e27f-417a-8f30-a8d696a652eb,Biblioteche,society,http://geoportale.comune.torino.it/geodati/zip/biblioteche_geo.zip,true,19095,ok
c_001272,c_l219:38d0528b-e27f-417a-8f30-a8d696a652eb,Biblioteche,society,http://geoportale.comune.torino.it/geodati/zip/biblioteche_csv.zip,true,2616,ok
r_piemon,r_piemon:00aaa290-3eaf-4615-9f0c-bc609c62b878,Ppr - Aree rurali di specifico interesse paesaggistico SV4 (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/specificita_paes_sv4_upp.zip,true,354392,ok
c_001272,c_l219:959f8363-2b36-4355-a806-66f8a8df5ae2,Dati di base - Volo aereo 2007,imageryBaseMapsEarthCover,http://geoportale.comune.torino.it/sec/zip/volo_2007.zip,true,61448,ok
p_to,cmto:5be3e580-a791-45c5-80a2-b54de25fa2ce,PTC 2 - Aree protette provinciali proposte,environment,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/territorio/dwd/pianificazione-territoriale/ptc2/shape_tavole/tav31/aree_prot_pv_proposte.zip,true,58508,ok
c_001272,c_l219:41a205a2-6a84-4b13-817c-8b483d1971f8,Cinema,society,http://geoportale.comune.torino.it/geodati/zip/cinema_geo.zip,true,16237,ok
c_001272,c_l219:41a205a2-6a84-4b13-817c-8b483d1971f8,Cinema,society,http://geoportale.comune.torino.it/geodati/zip/cinema_csv.zip,true,1988,ok
p_to,cmto:403766ce-7b5c-4347-ba70-2235e37d2447,Impianti di produzione di energia da fonti rinnovabili - puntuale,environment,https://eds.cittametropolitana.torino.it/geoportale/SHP_INT_ENER.php,true,96443,ok
r_piemon,r_piemon:7de040f1-82cb-4e53-95e1-7de4f5abd894,Ppr - Profili paesaggistici (tav. P4),elevation,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/profili_paesaggistici.zip,true,22924,ok
r_piemon,r_piemon:21953b9a-63de-4558-b8bf-28f68bf19999,Ppr - Sistemi di crinali collinari principali e secondari e pedemontani principali e secondari (tav. P4),elevation,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/crinali_collinari_e_pedemontani_principali_e_secondari.zip,true,184049,ok
p_to,cmto:b0a455b0-156b-4bd1-ac3a-a6d93ebaa96a,SANGONE - Studio idrogeologico,geoscientificInformation,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/sit-cartografico/dwd/geoportale/dati_scaricabili/difesa_del_suolo/studi_idrogeologici/sangone/Relazione_studio_101.pdf,true,21108489,ok
p_to,arlpa_to:07.10.09_10-D_2012-05-10-15:40,Arpa Piemonte - Evento alluvionale del 7-10 Ottobre 1996,geoscientificInformation,https://webgis.arpa.piemonte.it/w-metadoc/Download/alluvioni/allu_1996.zip,true,389089,ok
c_001272,c_l219:a38e078e-6935-4022-b2b4-ace9baacf4f7,Urbanistica - PRG Azzonamento - Edifici di particolare interesse storico,planningCadastre,http://geoportale.comune.torino.it/sec/zip/edifici_di_particolare_interesse_storico.zip,true,279511,ok
r_piemon,r_piemon:9958bfae-baba-48ac-94c2-8c911fa48ba2,Ppr - Tav. P6 Strategie e politiche per il paesaggio,planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/ProgettiQGIS/PPR_TavolaP6.zip,true,12735107,ok
r_piemon,r_piemon:3dab7c27-ca3e-4dc7-ad7e-9ecefe6b9dc9,TRAFFICO GIORNALIERO MEDIO E ALTRI DATI SVR 2023 SU ELEMENTO STRADALE BDTRE,transportation,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/TRASPORTI/DatiSVR2023_su_ElementoStradaleBDTRE.zip,true,81000750,ok
r_piemon,r_piemon:7a1aaac0-8d42-4451-a3ce-ad2eb34a0572,Ppr - Siti inseriti nella lista del Patrimonio Mondiale UNESCO. I Paesaggi vitivinicoli del Piemonte: Langhe-Roero e Monferrato (tav. P5),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/siti_unesco_paesaggi_vitivinicoli.zip,true,159644,ok
r_piemon,r_piemon:9dd8a2fe-7c57-4307-adf1-43a9cfb6b1b3,Ppr - Fulcri del costruito (tav. P4),society,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/fulcri_costruito_upp.zip,true,22295,ok
p_to,cmto:71fc592c-1413-4b41-83c7-cecc0bfae359,PTC 2 - Gerarchie urbane,planningCadastre,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/territorio/dwd/pianificazione-territoriale/ptc2/shape_tavole/tav21/gerarchie_urbane.zip,true,25307,ok
p_bi,p_bi:63afa00d-777e-4a0f-b972-4ef21e5d4dc8,Provincia di Biella - PTPv1 Nodi di interscambio,planningCadastre,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-f-politiche-territoriali-della,false,0,err
p_to,cmto:adba0ab1-6a68-4279-803e-f22e677f9dfd,Dizionario dei rifiuti,environment,https://www.cittametropolitana.torino.it/cms/risorse/ambiente/dwd/geoportale/rifiuti/cmto_dizionario_rifiuti.zip,true,134002,ok
p_to,cmto:213df4aa-b09d-4b21-9702-87e93e6af7dc,PTC 2 - Aziende principali,economy,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/territorio/dwd/pianificazione-territoriale/ptc2/shape_tavole/tav22/aziende_principali.zip,true,86066,ok
p_bi,p_bi:3a24e70a-e91b-4740-8101-e2ef99da09b1,Provincia di Biella - uso del suolo anno 1994,farming,https://www.provincia.biella.it/sit-e-cartografia/repertorio/consultazione/at6-matrice-ambientale,false,0,err
c_001272,c_l219:f33378db-d8ce-402b-9441-5cf19e1a9f79,Arte urbana - Picturin,society,http://geoportale.comune.torino.it/geodati/zip/a_urbana_picturin_geo.zip,true,12300,ok
c_001272,c_l219:f33378db-d8ce-402b-9441-5cf19e1a9f79,Arte urbana - Picturin,society,http://geoportale.comune.torino.it/geodati/zip/a_urbana_picturin_csv.zip,true,1704,ok
r_piemon,r_piemon:f80b8ec2-713f-4174-860d-47aa12f76c64,Rilocalizzazione preventiva di immobili ad uso abitativo in aree a rischio idraulico e idrogeologico,planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Rilocalizzazioni/rilocalizzazioni.zip,true,5550,ok
r_piemon,r_piemon:b1ac32ae-2796-4a1f-8607-2dcae1da5f9a,Ppr - Siti inseriti nella lista del Patrimonio Mondiale UNESCO: Sacri Monti e siti palafitticoli (tav. P5),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/Unesco_sacri_monti_siti_palafitticoli.zip,true,62459,ok
c_001272,c_l219:85cea270-4304-4ccb-922a-a20095f27f94,Catasto Urbano 1:1500,planningCadastre,http://geoportale.comune.torino.it/sec/zip/catasto_urbano.zip,true,7259026,ok
r_piemon,r_piemon:kd745pdg-4pi5-3ff2-li8h-rso458t4dl84,Ppr - Elementi caratterizzanti di rilevanza paesaggistica (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/elem_rilevanza_paesistica_upp.zip,true,160319,ok
